business_id,name,latitude,longitude,google_place_id,google_name,google_rating,google_user_ratings_total,google_price_level,google_business_status,google_types,google_hours_per_week,google_photo_count,google_unique_photo_contributors,google_has_photos
Y1ZdPCfQ4ndVAmj9lx6I7w,China Olive Super Buffet,32.1639837,-110.993741,ChIJ3_6j2mN71oYRG9QmfXm47o8,China Olive,4.0,136.0,,CLOSED_PERMANENTLY,"establishment, food, point_of_interest, restaurant",,10,5,True
sFQTyTiBqhTpSvyyB73iYA,Oriental Chi,32.289324,-110.975233,ChIJHyGtepVz1oYRWtszKWgSEWk,Oriental Chi,4.2,76.0,,OPERATIONAL,"establishment, point_of_interest, spa",56.0,10,2,True
Wd9JBLjCCh5yTF0vPAxCAA,El Merendero,32.1526671,-110.9772317,ChIJr9KuIT961oYR8Vs3Bs_GAso,El Merendero,4.1,1160.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",91.0,10,10,True
KPI0trKirkXDT8oroNfq3g,Blake's Lotaburger,32.271809,-110.874431,ChIJw8FZg7Zx1oYRjzj_IfCh58w,Blake's Lotaburger,4.0,1858.0,1.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",104.0,10,4,True
vGgAW3kLPjRFQCrndE6l9w,Agustín Brasserie,32.2201355,-110.9856285,ChIJzxpND9hw1oYR16wTlNppG_E,Agustin Kitchen,4.2,1184.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",70.0,10,9,True
7L1kXfwU5XM6f6Jxo_L7Yg,Casa Molina Del Norte,32.2614029,-110.9440973,ChIJoxX-oYRx1oYRS2vLMFCciUw,Casa Molina del Norte,4.2,1287.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",66.0,10,8,True
Bey6zC3Q6D1PTzqzPU32VA,Legends Bar And Grill,32.3576668596,-111.0256558577,ChIJyUemITkL1oYRrQlZMwa-tZY,Legends Bar & Grill,4.2,144.0,,OPERATIONAL,"bar, establishment, food, point_of_interest, restaurant",80.5,10,5,True
JQsDoGIv4XBtypoMS0m2cg,QuikTrip,32.1924496,-110.8564794,ChIJW8bSaFVx1oYRsMgmMHnAfj0,QuikTrip,3.2,33.0,,OPERATIONAL,"convenience_store, establishment, food, gas_station, liquor_store, meal_takeaway, point_of_interest, restaurant, store",0.0,5,4,True
B10mqANgHvL8gBteo1UhAA,Caruso's,32.2273367,-110.9653331,ChIJBUcHWBxx1oYR-lOeoOVCqys,Caruso's,4.2,2058.0,2.0,OPERATIONAL,"establishment, food, point_of_interest, restaurant",43.5,10,7,True
4UNrSbCu7rFsMOcU966a8g,Papa Murphy's,32.134418,-111.0021703,ChIJ77jWpo9l1oYRyS1f8QgmPm8,Papa Murphy's | Take 'N' Bake Pizza,4.5,508.0,1.0,OPERATIONAL,"establishment, food, meal_takeaway, point_of_interest, restaurant",72.0,10,2,True
